mean,sigma,scale
-0.017538492361432984,0.000489188909323097,0.0002860247792137524
-0.01564186984215439,0.0004696684113893548,0.00018489812150128737
-0.014020735193302216,0.00045189014193745467,0.0002348031845893243
-0.01221444929330811,0.0004616544692530512,0.00016217373300547798
-0.010490106270419899,0.0005178776553291289,0.00026142933415797303
-0.003928173273194197,0.0004840796319925712,0.00025808346556050106
-0.0022189165614314586,0.0004862302223264576,0.0001733760528500062
-0.0004497866591017248,0.0004054475120038564,0.0002459106096522866
0.0012170257511444087,0.0005208901063727334,0.00019480661484509728
0.0028805440354644973,0.00034711621459139393,0.00015767814355637896
0.0037110023594498828,0.00041126302347037564,0.0002175418893338246
0.005486093047156744,0.00050568489576526,0.0001882306897159626
0.007150256369981429,0.0004491262768663662,0.0002526569525488242
0.008936204353573637,0.0004310073243292716,0.0001553279393057924
0.010638907114410661,0.0005555513888888884,0.00027963584118681495
0.0175,0.0005555513888888888,0.0002684733771953638
0.01901693349759059,0.0003700005925056589,0.0001473948587642726
0.020849082029363166,0.0005555513888888888,0.0002739509813385613
